SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,S,AFT
54.12176,32.31045,3.116746,1.455168,1.301687,0.136148,2.541706,1.1162484,0.817369,1.180174,0.5,1537.777778
56.47488,31.3657,2.316114,1.1711304,1.2303844,0.15502,2.866948,0.674244,0.7940156,0.5866496,0.41,1537.777778
51.98256,32.1215,4.14613,2.294688,1.1391834,0.179284,2.854902,1.0563156,0.7539812,2.0234828,0.51,1537.777778
49.41552,29.8541,3.531359,4.8972,1.1176268,0.146932,2.336924,1.348488,0.7406364,3.620728,0.43,1537.777778
57.97232,33.44415,2.8594,0.8101368,0.6533308,0.156368,0.8962224,0.6093168,1.0041962,0.3826972,0.52,1537.777778
50.2712,32.31045,4.517852,2.910336,1.82402,0.160412,2.421246,2.4272784,0.8090285,1.4941232,0.51,1537.777778
48.98768,30.42095,2.43049,5.932608,1.3829388,0.17524,1.698486,2.4622392,0.6588995,3.758224,0.4,1537.777778
53.90784,29.66515,3.416983,1.944888,1.2419918,0.144236,2.505568,1.0837848,0.7589855,1.8516128,0.46,1537.777778
49.62944,28.3425,6.033334,3.959736,2.686284,0.1284644,2.46943,2.547144,0.6939296,1.3497524,0.43,1532.222222
50.05728,31.17675,7.57741,1.441176,1.3564076,0.18198,2.975362,1.43589,0.7956837,1.3337112,0.45,1537.777778
51.55472,31.17675,6.991233,1.2816672,1.2303844,0.1155236,2.240556,1.0688016,0.7856751,1.5330804,0.51,1537.777778
45.77888,39.3016,1.687046,5.023128,0.4493722,0.243988,0.3637892,0.4894512,1.818229,3.941552,0.41,1537.777778
56.26096,27.5867,3.274013,0.9906336,1.6366434,3.1678,1.590072,1.3959348,0.8207052,0.14528744,0.37,1537.777778
62.25072,27.39775,2.516272,0.3092232,1.3414838,0.164456,2.963316,0.17430456,0.7923475,0.0985388,0.11,1537.777778
44.70928,25.50825,11.380412,6.548256,1.2502828,0.361264,0.5444792,1.0937736,0.8724163,4.606116,0.58,1343.333333
48.132,20.97345,6.833966,10.745856,5.405732,0.219724,0.4167916,4.345128,1.1693381,0.2772836,0.31,1371.111111
51.98256,30.04305,3.57425,2.910336,2.006422,0.145584,1.614164,2.072676,0.6472228,0.5110268,0.25,1537.777778
50.2712,38.35685,2.630648,2.350656,1.1673728,0.211636,0.367403,1.5907164,2.135168,0.2704088,0.46,1537.777778
31.0184,14.076775,30.59558,5.694744,3.15058,0.692872,0.7191462,9.913884,0.3569734,0.06508144,0.51,1115.555556
51.3408,24.9414,8.535309,2.364648,1.973258,0.420576,1.830992,3.695856,0.5404644,0.0721854,0.42,1437.777778
57.33056,27.01985,2.416193,4.043688,2.420972,0.253424,0.9251328,3.24636,0.4553913,0.068748,0.3,1532.222222
52.19648,21.9182,10.57978,4.043688,2.221988,0.4044,1.1660528,5.568756,0.5804988,0.07768524,0.29,1426.666667
50.05728,25.88615,6.29068,3.889776,2.785776,0.988084,1.313014,5.344008,0.5571454,0.07310204,0.35,1410
30.37664,14.77589,20.73065,9.150768,5.438896,0.644344,1.228692,12.510972,0.4220293,0.10060124,0.38,1165.555556
48.98768,27.5867,3.903081,5.121072,3.001342,0.331608,1.0588434,4.3701,0.6488909,0.08341424,0.4,1521.111111
45.35104,27.5867,6.57662,4.309536,2.288316,0.665912,1.818946,6.442776,0.5888393,0.0870808,0.45,1537.777778
26.95392,13.320975,8.063508,11.47344,8.987444,1.16602,0.7432382,27.71892,0.4287017,0.15880788,0.63,1260
22.4616,12.31954,25.44866,9.02484,5.952938,1.96808,0.3999272,18.729,0.567154,,0.29,1104.444444
44.9232,29.28725,3.030964,5.610792,1.724528,0.32352,1.0925722,6.642552,1.1209632,1.9432768,0.37,1532.222222
32.72976,23.0519,20.44471,5.45688,3.017924,1.56368,1.1178688,8.61534,0.8574034,0.10060124,0.43,1226.666667
50.69904,33.6331,5.647315,2.756424,0.3449056,0.214332,0.668553,1.7830008,0.950817,1.4230836,0.39,1537.777778
65.2456,27.2088,4.517852,0.3819816,0.2304898,0.149628,0.5071366,0.586842,0.7589855,0.07356036,0.4,1537.777778
72.30496,15.286055,1.501185,2.37864,0.6185086,2.38596,1.590072,3.670884,1.1926915,0.06324816,0.2,1504.444444
65.2456,18.81942,3.045261,4.449456,0.6251414,0.0884288,2.433292,2.2699548,0.8390543,0.2085356,0.31,1532.222222
53.05216,23.24085,11.852213,2.02884,0.5903192,0.1203764,1.228692,2.87178,0.9141188,0.252076,0.29,1454.444444
64.81776,10.92131,4.889574,7.961448,2.105914,0.974604,1.481658,7.092048,0.4904214,0.4331124,1.31,1315.555556
66.3152,19.46185,5.904661,1.2159048,2.32148,0.993476,2.83081,1.4259012,0.8557353,0.063019,0.1,1437.777778
57.54448,15.8718,7.1485,7.331808,2.288316,1.109404,1.975544,6.49272,0.6422185,0.2704088,0.93,1348.888889
56.47488,12.58407,5.847473,12.019128,2.686284,1.075704,1.855084,9.164724,0.5588135,0.3391568,1.7,1360
52.83824,12.527385,5.7188,8.786976,2.32148,1.005608,1.818946,9.189696,0.5404644,0.34374,1.22,1332.222222
50.2712,11.48816,5.347078,9.640488,2.603374,1.10536,1.843038,12.73572,0.5371282,0.2933248,2.01,1215.555556
42.784,11.22363,5.018247,21.26784,2.40439,0.868112,1.421428,9.339528,0.4770766,0.6026908,1.02,1198.888889
26.31216,7.14231,10.851423,19.02912,1.4542414,0.528416,0.813105,33.96192,0.2919175,0.20188996,0.12,1193.333333
40.21696,10.43004,4.746604,14.13192,2.719448,1.025828,1.38529,22.824408,0.4720723,0.309366,0.11,1237.777778
53.7,28.2,6.93,2.58,0.974,0.359,2.36,2.1,1.39,0.464,0.64,1310
60.7,18.3,12.2,1.2,2.64,0.495,4.21,2.07,0.862,0.129,0.75,1310
50,25.7,15.4,2.41,1.53,0.598,1.17,2.28,1.53,0.118,0.22,1471.111111
53.3,20.5,10.7,3.76,2.83,1.77,0.693,4.34,1.29,0.08,0.45,1360
63.8,29,1.54,0.677,0.434,0.877,1.5,0.346,1.58,0.287,0.33,1537.777778
60.2,21.3,9.39,0.632,1.18,0.354,3.03,0.902,0.909,0.068,0.6,1460
35.2,21.7,1.74,14.2,7.45,0.232,0.545,14.7,1.1,0.097,0.76,1376.666667
48.34592,21.72925,8.177884,5.960592,2.520464,1.40192,1.50575,10.063716,0.9124507,0.11962152,0.48,1304.444444
62.0368,20.97345,2.501975,2.7984,2.039586,0.1164672,1.590072,3.096528,0.9408084,0.12168396,0.31,1493.333333
61.82288,27.9646,1.529779,0.8898912,1.2801304,0.096382,2.58989,1.1387232,0.8490629,0.08524752,0.35,1537.777778
51.6,28.9,11.7,1.08,0.802,0.725,1.43,1.32,1.7,0.106,0.54,1537.777778
61.3,25.8,5.54,1.32,0.882,0.585,0.838,0.903,1.51,0.06,0.37,1537.777778
59.6,24.1,10.8,1.78,1.22,0.502,1.02,1.64,1.43,0.105,0.33,1515.555556
64,25.3,4.49,1.37,1.02,0.494,1.85,0.735,1.2,0.069,0.48,1537.777778
70,27,1.6,0.36,0.545,0.686,2.01,0.394,1.06,0.093,0.63,1537.777778
60.8,31.3,1.86,0.321,0.563,0.453,2.28,0.248,1.34,0.089,0.45,1537.777778
63.1,25.8,4.45,0.283,0.671,0.648,2.42,0.254,1.04,0.069,0.27,1537.777778
66.3,26.7,0.998,0.279,0.515,0.544,2.48,0.163,1.57,0.046,0.37,1537.777778
51.1,30,11.2,1.01,1.1,0.32,2.98,0.837,1.1,0.056,0.74,1537.777778
62.4,25.2,3.08,1.45,1.16,0.23,3.1,0.382,0.837,0.849,0.26,1537.777778
47.4,28.5,9.02,4.63,3,0.348,1.97,2.69,0.977,0.141,0.91,1532.222222
49.1,26.9,15.1,2.11,1.63,0.337,2.38,2.2,1.1,0.112,0.79,1437.777778
52.3,31.6,8.31,1.37,0.983,0.206,3.07,0.463,0.998,0.097,0.51,1537.777778
48.1,31.2,13.8,0.362,0.819,0.207,2.87,0.284,0.976,0.242,0.69,1493.333333
28.1,18.9,43.3,1.51,0.457,0.19,1.01,1.63,0.539,0.472,1.2,1171.111111
18.7,11.2,61.6,2.41,0.405,0.295,0.129,3.07,0.274,0.114,0.71,1104.444444
67.8,25.8,1.6,0.2,0.54,0.1,2.2,0.14,1.6,0.02,0.38,1537.777778
67.1,25.6,1.5,0.34,0.85,0.55,3.1,0.55,1.6,0.04,0.57,1537.777778
66.5,24.2,1.7,0.39,0.8,0.2,3,0.41,1.4,0.03,0.48,1537.777778
65.4,23.9,5.8,0.44,0.96,0.2,2.3,1,1.4,0.02,0.4,1537.777778
63.5,22.9,3.1,0.29,0.92,0.28,2.6,0.7,1.1,0.07,0.38,1537.777778
61.4,28.9,5,0.97,0.85,0.17,1.3,2,1.5,0.05,0.6,1537.777778
67.5,25,3.1,0.18,0.6,0.24,1.8,0.49,1.6,0.05,0.37,1537.777778
49,28.2,11.1,0.36,2.6,0.39,3.1,1.1,0.85,0.03,0.64,1504.444444
62.3,26.8,4.2,1.3,0.63,0.47,1.5,1.2,1.5,1.4,0.28,1537.777778
87.5,9.8,1.2,0.09,0.31,2.4,1.5,0.09,0.42,,0.17,1537.777778
68.4,19.7,5.7,0.81,0.7,0.13,1.8,,0.7,0.05,0.43,1537.777778
69,19.3,5.8,1,0.98,0.2,2,,0.71,0.05,0.36,1537.777778
47.6,10,34.4,2.6,0.93,0.65,0.8,,0.45,0.08,0.16,1265.555556
68.4,14.2,10.9,1.7,0.81,1.3,1.2,,0.62,0.07,0.25,1460
67.4,27.5,1.2,1.5,0.42,0.13,1.4,,1.2,,0.23,1537.777778
65.4,13.3,16.8,2.2,1.2,0.42,1.8,,0.52,0.06,0.24,1332.222222
62,27.1,6.7,1.5,0.46,0.12,1.3,,1,,0.28,1537.777778
62,14.3,17.2,3,0.82,0.34,1.5,,0.52,0.09,0.13,1237.777778
63.6,13.4,18.4,2.4,0.66,0.27,1.2,,0.48,0.07,0.42,1371.111111
68.5,26.7,1.3,1.2,0.4,0.13,1,,1.2,0.02,0.21,1537.777778
54.3,8.5,33,3,0.78,0.33,1.2,,0.36,0.07,0.42,1287.777778
69,18.8,6.5,1.8,0.93,0.31,2,,0.78,0.04,0.48,1498.888889
72.1,19.1,3.7,1.1,0.95,0.36,1.9,,0.67,,0.32,1537.777778
74.1,18.4,3.3,1,0.76,0.34,1.7,,0.65,0.05,0.24,1537.777778
39.6,29.4,4.2,9.7,1,3.1,1,5.1,1.7,2.7,0.25,1332.222222
40.6,27.4,3,11.6,1.7,2.7,0.25,13.5,1.2,,0.22,1376.666667
22.3,10.7,34.5,16.6,1.3,1.2,0.19,14,0.49,,2.08,1093.333333
47.1,38.3,2.47,3.58,0.527,0.302,0.12,1.19,1.29,1.26,0.24,1537.777778
